id,region_id,area_id,city_id,street_id,shortname_region,formalname_region,shortname_area,formalname_area,shortname_city,formalname_city,shortname_street,formalname_street,house_number,building,block,letter,address,houseguid,management_organization_id,built_year,exploitation_start_year,project_type,house_type,is_alarm,method_of_forming_overhaul_fund,floor_count_max,floor_count_min,entrance_count,elevators_count,energy_efficiency,quarters_count,living_quarters_count,unliving_quarters_count,area_total,area_residential,area_non_residential,area_common_property,area_land,parking_square,playground,sportsground,other_beautification,foundation_type,floor_type,wall_material,basement_area,chute_type,chute_count,electrical_type,electrical_entries_count,heating_type,hot_water_type,cold_water_type,sewerage_type,sewerage_cesspools_volume,gas_type,ventilation_type,firefighting_type,drainage_type,lon,lat
6503794,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,2f2c3f51-1bfa-4485-b7c8-6bb4d27b0a29,обл,Тульская,,,г,Тула,проезд,1-й Южный,1,,1,,"обл. Тульская, г. Тула, проезд. 1-й Южный, д. 1, к. 1",6d92c588-6779-4608-abb7-966e4fc67f49,8935051.0,1938.0,1938.0,II-01,Многоквартирный дом,Нет,На специальном счете у регионального оператора,2.0,2.0,2.0,0.0,Не присвоен,8,8.0,0.0,"677,72","598,72","0,00","79,00","1462,00","0,00",500,500,отсутствует,Ленточный,Железобетонные,Кирпич,"298,35",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,"0,00",Центральное,Приточная вентиляция,Отсутствует,Наружные водостоки,37.59242,54.16761
9350834,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,2f2c3f51-1bfa-4485-b7c8-6bb4d27b0a29,обл,Тульская,,,г,Тула,проезд,1-й Южный,1,,2,,"обл. Тульская, г. Тула, проезд. 1-й Южный, д. 1, к. 2",f5beffb7-5f78-4d2e-90f3-032b84db1f69,8935051.0,1977.0,1977.0,ЭС-24,Многоквартирный дом,Нет,На счете регионального оператора,5.0,5.0,1.0,0.0,Не присвоен,10,10.0,0.0,"650,70","582,10","0,00","68,60","1879,00","0,00",499,500,Не имеется,Ленточный,Железобетонные,Кирпич,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,"0,00",Центральное,Вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,37.59223,54.1673
9037735,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,2f2c3f51-1bfa-4485-b7c8-6bb4d27b0a29,обл,Тульская,,,г,Тула,проезд,1-й Южный,1,Б,2,,"обл. Тульская, г. Тула, проезд. 1-й Южный, д. 1, к. 2, стр. Б",3baac976-7c26-3ad3-5850-663e35471718,,1977.0,1977.0,ЭС-24,Многоквартирный дом,Нет,На счете регионального оператора,5.0,5.0,1.0,0.0,Не присвоен,10,10.0,0.0,"853,70","582,10","0,00","271,60","1879,00","0,00",499,500,нет,Ленточный,Железобетонные,Кирпич,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,"0,00",Центральное,Вытяжная вентиляция,Пожарные гидранты,Наружные водостоки,37.59223,54.1673
8792067,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,2f2c3f51-1bfa-4485-b7c8-6bb4d27b0a29,обл,Тульская,,,г,Тула,проезд,1-й Южный,1б,,,,"обл. Тульская, г. Тула, проезд. 1-й Южный, д. 1б",eb871a86-3beb-508b-52eb-e0c90376d3fc,,,1977.0,,Многоквартирный дом,Нет,Не заполнено,5.0,,1.0,,Не заполнено,10,,,"596,40","596,40",,,,,498,498,,Не заполнено,Не заполнено,Кирпич,"182,80",Не заполнено,,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,37.59223,54.1673
6503668,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,2f2c3f51-1bfa-4485-b7c8-6bb4d27b0a29,обл,Тульская,,,г,Тула,проезд,1-й Южный,4,,,,"обл. Тульская, г. Тула, проезд. 1-й Южный, д. 4",5789c212-f060-4995-aab4-7047295f4ef5,8924825.0,1939.0,1939.0,II-01,Многоквартирный дом,Нет,На счете регионального оператора,3.0,3.0,2.0,0.0,Не присвоен,16,14.0,2.0,"1020,00","700,30","229,90","89,80","1234,00","0,00",500,500,Отсутствует,Ленточный,Деревянные,Кирпич,"241,00",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,"0,00",Центральное,Приточно-вытяжная вентиляция,Отсутствует,Наружные водостоки,37.59166,54.1674
8416814,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,2f2c3f51-1bfa-4485-b7c8-6bb4d27b0a29,обл,Тульская,,,г,Тула,проезд,1-й Южный,6,,,А,"обл. Тульская, г. Тула, проезд. 1-й Южный, д. 6, лит. А",ad66d5cd-ab64-61d6-d152-2f0ce64aa429,,1944.0,1944.0,II-01,Многоквартирный дом,Да,На счете регионального оператора,2.0,2.0,1.0,0.0,Не присвоен,4,4.0,0.0,"447,20","297,50","0,00","29,60","1660,00","0,00",500,500,,Ленточный,Железобетонные,Кирпич,"223,60",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,"0,00",Центральное,Приточно-вытяжная вентиляция,Отсутствует,Отсутствует,37.59123,54.16714
6503819,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,2f2c3f51-1bfa-4485-b7c8-6bb4d27b0a29,обл,Тульская,,,г,Тула,проезд,1-й Южный,8,,,,"обл. Тульская, г. Тула, проезд. 1-й Южный, д. 8",d0c13c28-a37d-4f62-beea-476c13165bf1,8931497.0,1957.0,1957.0,II-01,Многоквартирный дом,Нет,На счете регионального оператора,5.0,5.0,3.0,0.0,Не присвоен,50,50.0,0.0,"6326,10","4875,20","940,10","510,80","3308,00","0,00",500,500,Не имеется,Ленточный,Железобетонные,Кирпич,"580,34",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,"0,00",Центральное,Вытяжная вентиляция,Отсутствует,Наружные водостоки,37.59069,54.16661
8918127,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,2f2c3f51-1bfa-4485-b7c8-6bb4d27b0a29,обл,Тульская,,,г,Тула,проезд,1-й Южный,8,А1,,,"обл. Тульская, г. Тула, проезд. 1-й Южный, д. 8, стр. А1",9bbedfb5-f86b-fd37-bcdf-448cd56f14d0,7973509.0,,1957.0,II-01,Не заполнено,Нет,Не заполнено,5.0,,1.0,0.0,Не заполнено,23,,,"2268,50",,,,,,498,498,,Не заполнено,Железобетонные,Кирпич,,Не заполнено,,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,37.59069,54.16661
9319029,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,39e53a14-1c91-45a2-8720-9fbc53796dc8,обл,Тульская,,,г,Тула,проезд,2-й Южный,2 ,,,,"обл. Тульская, г. Тула, проезд. 2-й Южный, д. 2 ",e2f79f85-0153-42f2-941c-d57e8726c828,,1940.0,1940.0,нет,Многоквартирный дом,Нет,На счете регионального оператора,2.0,2.0,1.0,0.0,Не присвоен,8,8.0,0.0,"386,80","347,40","0,00","39,40","888,00","0,00",500,500,,Бетонные столбы,Деревянные,Кирпич,"0,00",Отсутствует,0.0,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,"0,00",Центральное,Вытяжная вентиляция,Отсутствует,Наружные водостоки,37.5928,54.16714
9099151,d028ec4f-f6da-4843-ada6-b68b3e0efa3d,,b2601b18-6da2-4789-9fbe-800dde06a2bb,39e53a14-1c91-45a2-8720-9fbc53796dc8,обл,Тульская,,,г,Тула,проезд,2-й Южный,2/8,,,,"обл. Тульская, г. Тула, проезд. 2-й Южный, д. 2/8",f4432bc1-9116-49b9-a159-90ce8114ed8a,,1940.0,1940.0,кирпичный,Многоквартирный дом,Да,Не определен,2.0,2.0,1.0,0.0,Не присвоен,8,8.0,0.0,"733,00","733,00","0,00","733,00","1010,00","0,00",500,500,,Ленточный,Смешанные,Кирпич,"366,50",Отсутствует,,Центральное,1.0,Центральное,Отсутствует,Центральное,Центральное,,Центральное,Приточная вентиляция,Отсутствует,Отсутствует,37.5928,54.16714
